motion,label
0.031250 0.906250 1.121094 -58.863281 -100.406250 -105.519531 -82.871094 -78.597656 -0.082031 0.664062 0.507812 -52.621094 -65.023438 -61.476562 -59.218750 -71.667969 -0.570312 4.558594 -15.785156 -105.570312 -99.164062 -102.980469 -79.167969 -74.109375,l
0.023438 1.144531 1.046875 -66.644531 -105.042969 -68.769531 -96.601562 -93.144531 -0.066406 1.066406 -1.082031 -61.355469 -52.074219 -79.539062 -49.105469 -88.171875 -0.261719 2.410156 -5.109375 -82.199219 -101.503906 -63.160156 -98.191406 -114.484375,l
0.070312 0.472656 1.488281 -32.953125 -92.628906 -95.679688 -91.535156 -72.410156 0.160156 -0.839844 9.707031 -56.421875 -64.671875 -64.929688 -107.003906 -66.792969 -0.457031 3.105469 -12.539062 -49.824219 -86.750000 -110.308594 -110.589844 -115.152344,l
-0.015625 1.812500 -3.578125 -62.269531 -97.226562 -82.894531 -58.960938 -69.656250 0.164062 -0.636719 7.609375 -42.734375 -100.699219 -91.316406 -43.074219 -57.000000 -0.261719 2.488281 -4.582031 -74.652344 -119.164062 -107.765625 -116.941406 -87.300781,l
0.121094 -0.156250 5.304688 -40.601562 -72.812500 -62.132812 -64.605469 -65.496094 -0.117188 1.816406 -3.464844 -82.722656 -59.308594 -50.519531 -51.996094 -34.253906 -0.367188 2.910156 -8.074219 -76.164062 -124.250000 -97.003906 -81.441406 -92.214844,l
0.218750 -0.707031 7.546875 -25.417969 -75.570312 -53.761719 -89.664062 -37.250000 0.031250 -0.082031 3.699219 -39.613281 -59.359375 -39.105469 -45.375000 -77.429688 -0.445312 3.656250 -12.316406 -82.089844 -89.984375 -83.332031 -96.441406 -47.957031,l
0.167969 0.460938 1.136719 -22.449219 -79.882812 -65.890625 -33.917969 -99.175781 0.007812 0.285156 0.492188 -32.152344 -37.667969 -68.585938 -76.546875 -45.933594 -0.316406 2.566406 -7.687500 -61.785156 -99.929688 -70.304688 -33.644531 -72.117188,l
-0.281250 2.988281 -11.617188 -63.687500 -31.621094 -75.261719 -105.125000 -63.726562 0.210938 -1.042969 9.500000 -41.289062 -80.828125 -60.316406 -44.664062 -58.703125 -0.613281 3.917969 -15.460938 -71.582031 -42.988281 -53.089844 -80.203125 -81.378906,l
0.175781 -0.148438 5.746094 -37.863281 -106.488281 -82.453125 -56.804688 -105.757812 -0.054688 1.019531 -1.828125 -55.921875 -44.730469 -59.902344 -45.574219 -54.039062 -0.289062 1.816406 -5.597656 -37.398438 -79.375000 -76.167969 -86.445312 -93.066406,l
0.019531 1.109375 -0.300781 -57.765625 -63.742188 -85.371094 -99.964844 -50.667969 -0.089844 0.828125 -0.304688 -55.570312 -55.101562 -45.535156 -74.886719 -78.148438 -0.320312 2.171875 -6.515625 -53.269531 -88.750000 -86.558594 -96.804688 -77.007812,l
